Device;RegisterName;RegisterRawName;RegisterAddress;RegisterByteSize;IsUsedForCamera;CameraBitPosition;PinBoardName;RegisterDescription
Behavior;Ports digital Inputs / Pokes Infrared Beam;ADD_REG_PORT_DIS;32;1;;;;
Behavior;Data (Analog input and quadrature counter);ADD_REG_DATA;44;2;;;;
Behavior;Set outputs;ADD_REG_OUTPUTS_SET;34;2;;;;
Behavior;Clear outputs;ADD_REG_OUTPUTS_CLEAR;35;2;;;;
Behavior;Toggle outputs;ADD_REG_OUTPUTS_TOGGLE;36;2;;;;
Behavior;Write outputs;ADD_REG_OUTPUTS_OUT;37;2;;;;
Behavior;Pulse on Port 0 DO / Poke 0 Led;ADD_REG_PULSE_PORT0_DO;46;2;;;;
Behavior;Pulse on Port 1 DO / Poke 1 Led;ADD_REG_PULSE_PORT0_DO;47;2;;;;
Behavior;Pulse on Port 1 DO / Poke 2 Led;ADD_REG_PULSE_PORT0_DO;48;2;;;;
Behavior;Pulse on Port 0 12V / Poke 0 Valve;ADD_REG_PULSE_PORT0_12V;49;2;;;;
Behavior;Pulse on Port 1 12V / Poke 1 Valve;ADD_REG_PULSE_PORT0_12V;50;2;;;;
Behavior;Pulse on Port 2 12V / Poke 2 Valve;ADD_REG_PULSE_PORT0_12V;51;2;;;;
Behavior;Pulse on LED 0;ADD_REG_PULSE_LED0;52;2;;;;
Behavior;Pulse on LED 1;ADD_REG_PULSE_LED1;53;2;;;;
Behavior;Pulse on RGB 0;ADD_REG_PULSE_RGB0;54;2;;;;
Behavior;Pulse on RGB 1;ADD_REG_PULSE_RGB1;55;2;;;;
Behavior;Pulse on digital output DO0;ADD_REG_PULSE_DO0;56;2;;;;
Behavior;Pulse on digital output DO1;ADD_REG_PULSE_DO1;57;2;;;;
Behavior;Pulse on digital output DO2;ADD_REG_PULSE_DO2;58;2;;;;
Behavior;Pulse on digital output DO3;ADD_REG_PULSE_DO3;59;2;;;;
Behavior;Start Pwm;ADD_REG_PWM_START;68;1;;;;
Behavior;Stop Pwm;ADD_REG_PWM_STOP;69;1;;;;
Behavior;Pwm frequency of digital output 0;ADD_REG_FREQ_DO0;60;2;;;;
Behavior;Pwm frequency of digital output 1;ADD_REG_FREQ_DO1;61;2;;;;
Behavior;Pwm frequency of digital output 2;ADD_REG_FREQ_DO2;62;2;;;;
Behavior;Pwm frequency of digital output 3;ADD_REG_FREQ_DO3;63;2;;;;
Behavior;Current of Led 0;ADD_REG_LED0_CURRENT;73;1;;;;
Behavior;Current of Led 1;ADD_REG_LED1_CURRENT;74;1;;;;
Behavior;Start cameras;ADD_REG_START_CAMERAS;78;1;;;;
Behavior;Stop cameras;ADD_REG_STOP_CAMERAS;79;1;;;;
Behavior;Camera on Digital 0;ADD_REG_CAM_OUT0_FRAME_ACQUIRED;92;1;yes;0;DO0;
Behavior;Camera on Digital 1;ADD_REG_CAM_OUT1_FRAME_ACQUIRED;94;1;yes;0;DO1;
Behavior;Servo on Digital 2;ADD_REG_MOTOR_OUT2_PULSE;101;2;;;;
Behavior;Servo on Digital 3;ADD_REG_MOTOR_OUT3_PULSE;103;2;;;;
